Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
3M Company,MMM,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,1902
Abbott Laboratories,ABT,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",31/03/1964,1800,1888
AbbVie Inc.,ABBV,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/2012,1551152,2013 (1888)
ABIOMED Inc,ABMD,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",31/05/2018,815094,1981
Accenture plc,ACN,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/2011,1467373,1989
Activision Blizzard,ATVI,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/08/2015,718877,2008
Adobe Systems Inc,ADBE,reports,Information Technology,Application Software,"San Jose, California",05/05/1997,796343,1982
Advanced Micro Devices Inc,AMD,reports,Information Technology,Semiconductors,"Sunnyvale, California",20/03/2017,2488,1969
Advance Auto Parts,AAP,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",09/07/2015,1158449,1932
AES Corp,AES,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",02/10/1998,874761,1981
Affiliated Managers Group Inc,AMG,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",01/07/2014,1004434,1993
AFLAC Inc,AFL,reports,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/1999,4977,1955
Agilent Technologies Inc,A,reports,Health Care,Health Care Equipment,"Santa Clara, California",05/06/2000,1090872,1999
Air Products & Chemicals Inc,APD,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",30/04/1985,2969,1940
Akamai Technologies Inc,AKAM,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/2007,1086222,1998
Alaska Air Group Inc,ALK,reports,Industrials,Airlines,"Seattle, Washington",13/05/2016,766421,1985
Albemarle Corp,ALB,reports,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",01/07/2016,915913,1994
Alexandria Real Estate Equities,ARE,reports,Real Estate,Office REITs,"Pasadena, California",20/03/2017,1035443,1994
Alexion Pharmaceuticals,ALXN,reports,Health Care,Biotechnology,"Cheshire, Connecticut",25/05/2012,899866,1992
Align Technology,ALGN,reports,Health Care,Health Care Supplies,"San Jose, California",19/06/2017,1097149,1997
Allegion,ALLE,reports,Industrials,Building Products,"Dublin, Ireland",02/12/2013,1579241,1908
"Allergan, Plc",AGN,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",12/04/1999,1578845,1983
Alliance Data Systems,ADS,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",23/12/2013,1101215,1996
Alliant Energy Corp,LNT,reports,Utilities,Electric Utilities,"Madison, Wisconsin",01/07/2016,352541,1917
Allstate Corp,ALL,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/07/1995,899051,1931
Alphabet Inc Class A,GOOGL,reports,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2014,1652044,1998
Alphabet Inc Class C,GOOG,reports,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2006,1652044,1998
Altria Group Inc,MO,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,1985
Amazon.com Inc.,AMZN,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/2005,1018724,1994
Ameren Corp,AEE,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",19/09/1991,1002910,1902
American Airlines Group,AAL,reports,Industrials,Airlines,"Fort Worth, Texas",23/03/2015,6201,1934
American Electric Power,AEP,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906
American Express Co,AXP,reports,Financials,Consumer Finance,"New York, New York",30/06/1976,4962,1850
American International Group,AIG,reports,Financials,Property & Casualty Insurance,"New York, New York",31/03/1980,5272,1919
American Tower Corp.,AMT,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",19/11/2007,1053507,1995
American Water Works Company Inc,AWK,reports,Utilities,Water Utilities,"Voorhees, New Jersey",04/03/2016,1410636,1886
Ameriprise Financial,AMP,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",03/10/2005,820027,1894
AmerisourceBergen Corp,ABC,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",30/08/2001,1140859,1985
AMETEK Inc.,AME,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23/09/2013,1037868,1930
Amgen Inc.,AMGN,reports,Health Care,Biotechnology,"Thousand Oaks, California",02/01/1992,318154,1980
Amphenol Corp,APH,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",30/09/2008,820313,1932
Anadarko Petroleum Corp,APC,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",28/07/1997,773910,1959
"Analog Devices, Inc.",ADI,reports,Information Technology,Semiconductors,"Norwood, Massachusetts",12/10/1999,6281,1965
ANSYS,ANSS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",19/06/2017,1013462,1969
Anthem Inc.,ANTM,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",25/07/2002,1156039,2014 (1940s)
Aon plc,AON,reports,Financials,Insurance Brokers,"London, United Kingdom",23/04/1996,315293,1982 (1919)
A.O. Smith Corp,AOS,reports,Industrials,Building Products,"Milwaukee, Wisconsin",26/07/2017,91142,1916
Apache Corporation,APA,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",28/07/1997,6769,1954
Apartment Investment & Management ,AIV,reports,Real Estate,Residential REITs,"Denver, Colorado",14/03/2003,922864,1994 (1975)
Apple Inc.,AAPL,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30/11/1982,320193,1977
Applied Materials Inc.,AMAT,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",16/03/1995,6951,1967
Aptiv Plc,APTV,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",24/12/2012,1521332,1994
Archer-Daniels-Midland Co,ADM,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",29/07/1981,7084,1902
Arconic Inc.,ARNC,reports,Industrials,Aerospace & Defense,"New York, New York",31/03/1964,4281,2016
Arista Networks,ANET,reports,Information Technology,Communications Equipment,"Santa Clara, California",28/08/2018,1596532,2004
Arthur J. Gallagher & Co.,AJG,reports,Financials,Insurance Brokers,"Itasca, Illinois",31/05/2016,354190,
Assurant,AIZ,reports,Financials,Multi-line Insurance,"New York, New York",10/04/2007,1267238,
Atmos Energy Corp,ATO,reports,Utilities,Gas Utilities,"Dallas, Texas",15/02/2019,731802,1906
AT&T Inc.,T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",30/11/1983,732717,1983
Autodesk Inc.,ADSK,reports,Information Technology,Application Software,"San Rafael, California",01/12/1989,769397,
Automatic Data Processing,ADP,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",31/03/1981,8670,
AutoZone Inc,AZO,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",02/01/1997,866787,
"AvalonBay Communities, Inc.",AVB,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",10/01/2007,915912,
Avery Dennison Corp,AVY,reports,Materials,Paper Packaging,"Glendale, California",31/12/1987,8818,
"Baker Hughes, a GE Company",BHGE,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1701605,2017
Ball Corp,BLL,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",31/10/1984,9389,
Bank of America Corp,BAC,reports,Financials,Diversified Banks,"Charlotte, North Carolina",30/06/1976,70858,
The Bank of New York Mellon Corp.,BK,reports,Financials,Asset Management & Custody Banks,"New York, New York",31/03/1995,1390777,
Baxter International Inc.,BAX,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",30/09/1972,10456,1931
BB&T Corporation,BBT,reports,Financials,Regional Banks,"Winston-Salem, North Carolina",04/12/1997,92230,
Becton Dickinson,BDX,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",30/09/1972,10795,1897
Berkshire Hathaway,BRK.B,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",16/02/2010,1067983,
Best Buy Co. Inc.,BBY,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29/06/1999,764478,
Biogen Inc.,BIIB,reports,Health Care,Biotechnology,"Weston, Massachusetts",13/11/2003,875045,
BlackRock,BLK,reports,Financials,Asset Management & Custody Banks,"New York, New York",04/04/2011,1364742,
Block H&R,HRB,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",30/11/1986,12659,
Boeing Company,BA,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927,1916
Booking Holdings Inc,BKNG,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",06/11/2009,1075531,
BorgWarner,BWA,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",19/12/2011,908255,
Boston Properties,BXP,reports,Real Estate,Office REITs,"Boston, Massachusetts",03/04/2006,1037540,
Boston Scientific,BSX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",24/02/1995,885725,
Bristol-Myers Squibb,BMY,reports,Health Care,Health Care Distributors,"New York, New York",,14272,1989
Broadcom,AVGO,reports,Information Technology,Semiconductors,"San Jose, California",08/05/2014,1441634,
Broadridge Financial Solutions,BR,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",18/06/2018,1383312,1962
Brown-Forman Corp.,BF.B,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",31/10/1982,14693,
C. H. Robinson Worldwide,CHRW,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",02/03/2007,1043277,
Cabot Oil & Gas,COG,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",23/06/2008,858470,
Cadence Design Systems,CDNS,reports,Information Technology,Application Software,"San Jose, California",18/09/2017,813672,
Campbell Soup,CPB,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,1869
Capital One Financial,COF,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",01/07/1998,927628,1935
Capri Holdings,CPRI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",13/11/2013,1530721,
Cardinal Health Inc.,CAH,reports,Health Care,Health Care Distributors,"Dublin, Ohio",27/05/1997,721371,
Carmax Inc,KMX,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",28/06/2010,1170010,
Carnival Corp.,CCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",22/12/1998,815097,
Caterpillar Inc.,CAT,reports,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",,18230,1925
Cboe Global Markets,CBOE,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",01/03/2017,1374310,
CBRE Group,CBRE,reports,Real Estate,Real Estate Services,"Los Angeles, California",10/11/2006,1138118,
CBS Corp.,CBS,reports,Communication Services,Broadcasting,"New York, New York",01/09/1994,813828,2006
Celanese Corp.,CE,reports,Materials,Specialty Chemicals,"Irving, Texas",24/12/2018,1306830,
Celgene Corp.,CELG,reports,Health Care,Biotechnology,"Summit, New Jersey",06/11/2006,816284,
Centene Corporation,CNC,reports,Health Care,Managed Health Care,"St Louis, Missouri",30/03/2016,1071739,
CenterPoint Energy,CNP,reports,Utilities,Multi-Utilities,"Houston, Texas",31/07/1985,1130310,
CenturyLink Inc,CTL,reports,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",25/03/1999,18926,
Cerner,CERN,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",30/04/2010,804753,
CF Industries Holdings Inc,CF,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",27/08/2008,1324404,
Charles Schwab Corporation,SCHW,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",02/06/1997,316709,
Charter Communications,CHTR,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",08/09/2016,1091667,
Chevron Corp.,CVX,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,1879
Chipotle Mexican Grill,CMG,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",28/04/2011,1058090,
Chubb Limited,CB,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",15/07/2010,896159,
Church & Dwight,CHD,reports,Consumer Staples,Household Products,"Ewing, New Jersey",29/12/2015,313927,
CIGNA Corp.,CI,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",30/06/1976,701221,
Cimarex Energy,XEC,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",21/06/2014,1168054,
Cincinnati Financial,CINF,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",18/12/1997,20286,
Cintas Corporation,CTAS,reports,Industrials,Diversified Support Services,"Mason, Ohio",01/03/2001,723254,
Cisco Systems,CSCO,reports,Information Technology,Communications Equipment,"San Jose, California",01/12/1993,858877,
Citigroup Inc.,C,reports,Financials,Diversified Banks,"New York, New York",31/05/1988,831001,
Citizens Financial Group,CFG,reports,Financials,Regional Banks,"Providence, Rhode Island",29/01/2016,759944,
Citrix Systems,CTXS,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",01/12/1999,877890,
The Clorox Company,CLX,reports,Consumer Staples,Household Products,"Oakland, California",31/03/1969,21076,1913
CME Group Inc.,CME,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",11/08/2006,1156375,
CMS Energy,CMS,reports,Utilities,Multi-Utilities,"Jackson, Michigan",03/05/1999,811156,
Coca-Cola Company,KO,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344,1886
Cognizant Technology Solutions,CTSH,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17/11/2006,1058290,
Colgate-Palmolive,CL,reports,Consumer Staples,Household Products,"New York, New York",,21665,1806
Comcast Corp.,CMCSA,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",18/09/2015,1166691,
Comerica Inc.,CMA,reports,Financials,Diversified Banks,"Dallas, Texas",01/12/1995,28412,
Conagra Brands,CAG,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",31/08/1983,23217,
Concho Resources,CXO,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",22/02/2016,1358071,
ConocoPhillips,COP,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,2002
Consolidated Edison,ED,reports,Utilities,Electric Utilities,"New York, New York",,1047862,1823
Constellation Brands,STZ,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",05/07/2005,16918,
The Cooper Companies,COO,reports,Health Care,Health Care Supplies,"Pleasanton, California",23/09/2016,711404,
Copart Inc,CPRT,reports,Industrials,Diversified Support Services,"Dallas, Texas",02/07/2018,900075,
Corning Inc.,GLW,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851
Costco Wholesale Corp.,COST,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",01/10/1993,909832,
"Coty, Inc",COTY,reports,Consumer Staples,Personal Products,"New York, New York",03/10/2016,1024305,
Crown Castle International Corp.,CCI,reports,Real Estate,Specialized REITs,"Houston, Texas",14/03/2012,1051470,
CSX Corp.,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",30/09/1967,277948,1980
Cummins Inc.,CMI,reports,Industrials,Industrial Machinery,"Columbus, Indiana",31/03/1965,26172,1919
CVS Health,CVS,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803,1996
D. R. Horton,DHI,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184,1978
Danaher Corp.,DHR,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969
Darden Restaurants,DRI,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938
DaVita Inc.,DVA,reports,Health Care,Health Care Facilities,"Denver, Colorado",31/07/2008,927066,
Deere & Co.,DE,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189,1837
Delta Air Lines Inc.,DAL,reports,Industrials,Airlines,"Atlanta, Georgia",11/09/2013,27904,
Dentsply Sirona,XRAY,reports,Health Care,Health Care Supplies,"York, Pennsylvania",14/11/2008,818479,
Devon Energy,DVN,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",30/08/2000,1090012,
Diamondback Energy,FANG,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",03/12/2018,1539838,2007
Digital Realty Trust Inc,DLR,reports,Real Estate,Specialized REITs,"San Francisco, California",18/05/2016,1297996,
Discover Financial Services,DFS,reports,Financials,Consumer Finance,"Riverwoods, Illinois",02/07/2007,1393612,
Discovery Inc. Class A,DISCA,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",01/03/2010,1437107,
Discovery Inc. Class C,DISCK,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",07/08/2014,1437107,
Dish Network,DISH,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",13/03/2017,1001082,
Dollar General,DG,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",03/12/2012,29534,
Dollar Tree,DLTR,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",19/12/2011,935703,
Dominion Energy,D,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983
Dover Corp.,DOV,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",31/10/1985,29905,
Dow Inc.,DOW,reports,Materials,Commodity Chemicals,"Midland, Michigan",01/04/2019,1751788,2019
DowDuPont,DWDP,reports,Materials,Specialty Chemicals,"Midland, Michigan",,1666700,2017
DTE Energy Co.,DTE,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1995
Duke Realty Corp,DRE,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",26/07/2017,783280,
Duke Energy,DUK,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",30/06/1976,1326160,
DXC Technology,DXC,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",04/04/2017,1688568,
